toi,tid,coverage_status,product_count,sectors,error
1680.01,259168516,available,42,TESS Sector 14;TESS Sector 15;TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 56;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
1683.01,58542531,available,5,TESS Sector 19;TESS Sector 43;TESS Sector 44;TESS Sector 70;TESS Sector 71,
1685.01,28900646,available,3,TESS Sector 19;TESS Sector 59;TESS Sector 86,
1688.01,121966220,available,3,TESS Sector 19;TESS Sector 59;TESS Sector 86,
1689.01,198384408,available,37,TESS Sector 14;TESS Sector 15;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 54;TESS Sector 56;TESS Sector 57;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
169.01,183120439,available,6,TESS Sector 13;TESS Sector 27;TESS Sector 28;TESS Sector 67;TESS Sector 68;TESS Sector 95,
1690.01,267574918,available,23,TESS Sector 14;TESS Sector 15;TESS Sector 19;TESS Sector 22;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 49;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 56;TESS Sector 59;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 86,
1691.01,268334473,available,13,TESS Sector 19;TESS Sector 20;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 47;TESS Sector 52;TESS Sector 53;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 79;TESS Sector 86,
1693.01,353475866,available,6,TESS Sector 19;TESS Sector 43;TESS Sector 44;TESS Sector 45;TESS Sector 72;TESS Sector 73,
1694.01,396740648,available,2,TESS Sector 19;TESS Sector 20,
