toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
"1035.01",361413119,"PC",6.0744477,2459286.8726050,"2019-07-24 18:44:12","2025-07-09 16:00:02",144.1502730,-61.5831820,10.1126000,5964.0000000,2.4303801
"1036.01",146172354,"PC",3.7795212,2460037.1722730,"2019-07-24 18:44:12","2023-05-05 16:02:01",157.8671120,-42.2404480,10.2855000,5771.0000000,1.1800000
"1037.01",363260203,"FP",1.2025238,2459331.1245120,"2019-07-24 18:44:12","2024-09-07 10:08:02",147.3851720,-63.3064780,9.0211000,9158.0000000,1.7400000
"1038.01",90544017,"FP",3.2235985,2459273.3716430,"2019-07-24 18:44:12","2021-10-29 12:59:15",128.4546380,-49.9403470,8.7157000,8904.0000000,2.1700000
"1039.01",461867584,"APC",4.4201250,2460031.2166000,"2019-07-24 18:44:12","2023-05-05 16:02:01",149.6885450,-58.7604530,8.5483000,,
"104.01",231670397,"KP",4.0872956,2460150.6086770,"2018-09-05 18:49:20","2023-10-16 16:02:02",319.9496970,-58.1489330,9.8638000,6036.0000000,2.2186699
"1040.01",310483807,"FP",2.5555500,2460756.1297890,"2019-07-24 18:44:12","2025-11-06 16:00:01",128.6142100,-61.4882620,8.3854000,10037.0000000,6.0400000
"1041.01",385624852,"FP",8.3079200,2459261.8012160,"2019-07-24 18:44:12","2021-10-29 12:59:15",138.4022520,-55.1979100,8.0981000,9081.0000000,3.0500000
"1042.01",360286627,"FP",0.7580820,2459281.3379560,"2019-07-24 18:44:12","2025-12-11 10:08:01",141.9752150,-61.3300400,9.7180000,9917.0000000,3.5086601
"1043.01",90448944,"FP",1.4415577,2459985.7704250,"2019-07-24 18:44:12","2024-09-09 10:08:01",128.3023190,-52.7142020,9.5719000,6902.0000000,1.5200000
"1044.01",463402815,"PC",1.0085089,2460037.1946720,"2019-07-24 18:44:12","2023-05-11 16:02:02",153.8110230,-58.7663930,10.0031000,5215.2000000,
"1045.01",54044474,"FP",3.7039994,2459301.5441260,"2019-07-24 18:44:12","2021-12-07 16:02:02",159.8877040,-32.5118800,9.6306000,7013.8000000,1.9000000
"1046.01",309787037,"FP",1.3042553,2460177.8671950,"2019-07-24 18:44:12","2024-09-19 10:08:01",126.4194680,-60.9075140,10.0119000,6762.0000000,1.7500000
"1047.01",370745311,"FP",0.6262700,2458544.7906100,"2019-07-24 18:44:12","2021-10-29 12:59:15",144.5815350,-67.5050970,10.2355000,5622.0000000,0.9300000
"1048.01",384549882,"FP",0.3041200,2458518.3760000,"2019-07-24 18:44:12","2021-10-29 12:59:15",136.5277020,-54.9039220,8.8020000,11892.0000000,2.5200000
