toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
391.01,382391899,KP,1.9550932,2459169.669461,2019-02-08 20:04:48,2021-12-02 16:02:01,43.688074,-10.898024,11.0529,5400.0,0.873418
398.01,1129033,KP,1.3600283,2459168.520849,2019-02-08 20:04:48,2021-12-02 16:02:01,37.155522,-7.060667,9.62713,5500.0,0.933975
400.01,35857242,KP,3.6344447,2459169.279248,2019-02-08 20:04:48,2021-10-29 12:59:15,41.63916,-0.464125,11.3161,6272.0,1.42
403.01,257567854,KP,3.532822,2458411.901592,2019-02-08 20:04:48,2024-09-19 10:08:01,52.818037,-23.819792,11.185,6153.0,1.25
404.01,166833457,KP,2.9626402,2459168.63923,2019-02-08 20:04:48,2024-04-26 10:08:02,58.429011,-34.328272,12.3943,5473.0,0.718635
413.01,170634116,KP,3.6623918,2459174.669346,2019-06-06 20:53:59,2021-12-02 16:02:01,66.370902,-30.600436,9.6757,6600.0,1.48532
415.01,152476657,KP,3.6112621,2459166.483051,2019-06-06 20:53:59,2021-12-02 16:02:01,62.616081,-45.898243,10.5831,6450.0,1.68443
418.01,178284730,KP,2.2359865,2459146.100495,2019-06-06 20:53:59,2021-12-02 16:02:01,60.385539,-20.450999,10.3074,5260.0,0.844379
423.01,43647325,KP,3.1615697,2459176.768453,2019-02-08 16:19:52,2021-12-02 16:02:01,76.081891,-6.22978,10.4408,6072.0,1.0977401
434.01,78055054,KP,4.3888516,2459198.519993,2019-06-06 20:53:59,2021-12-02 16:02:01,80.538242,-30.970818,12.8461,5175.0,0.877856
437.01,32499655,KP,2.7439029,2459197.575826,2019-06-06 20:53:59,2021-12-02 16:02:01,84.326756,-27.972576,13.5452,4860.0,0.885702
439.01,13021029,KP,3.85589,2459175.599762,2019-02-08 16:19:52,2024-04-25 10:08:01,75.299664,-26.054144,11.7231,6244.5,1.43256
443.01,117979897,KP,3.3106692,2459174.840517,2019-02-08 16:19:52,2021-12-02 16:02:01,71.824435,-17.115174,12.0682,6030.0,1.3514301
449.01,139528693,KP,2.1751729,2459175.58961,2019-02-08 16:19:52,2021-12-02 16:02:01,63.756266,-22.11639,11.8282,6291.0,2.0625999
452.01,139733308,KP,4.7633952,2459174.695544,2019-02-08 16:19:52,2021-12-02 16:02:01,67.222847,-21.482057,11.9012,5258.0,0.87551
453.01,452808876,KP,2.70582,2458438.96587,2019-02-08 16:19:52,2021-10-29 12:59:15,72.660592,1.893836,9.538961,6441.6,2.1
465.01,270380593,KP,3.8361623,2458414.135893,2019-02-08 19:54:07,2024-11-26 16:02:02,32.782085,2.418194,10.7307,4910.0,0.84738
466.01,4616072,KP,4.1876154,2459201.891355,2019-02-22 14:51:22,2021-10-29 12:59:15,101.994246,-21.910711,12.8893,6675.0,1.23733
468.01,33521996,KP,3.3252703,2459220.820401,2019-02-27 22:16:31,2021-10-29 12:59:15,88.146808,-19.031627,13.3383,3724.0,0.596801
471.01,47911178,KP,3.5857076,2459223.302264,2019-02-27 22:16:31,2021-10-29 12:59:15,98.351102,-23.486086,9.79059,6400.0,1.34556
473.01,52640302,KP,1.5732848,2459229.48943,2019-02-22 14:51:22,2021-10-29 12:59:15,101.114922,-32.858388,12.0506,5400.0,1.09539
474.01,59843967,KP,2.5167257,2459226.05544,2019-02-27 22:16:31,2021-10-29 12:59:15,94.112091,-22.546882,12.7632,5403.0,0.982638
477.01,170102285,KP,2.9444273,2458470.661116,2019-02-27 22:16:31,2024-09-19 10:08:01,101.127503,-42.76223,11.7583,5150.0,0.88727
479.01,306362738,KP,2.7817379,2459221.888774,2019-02-27 22:16:31,2021-10-29 12:59:15,91.089719,-16.96539,10.8164,5600.0,1.02095
483.01,393414358,KP,4.3780807,2458469.697072,2019-02-22 14:51:24,2024-09-07 10:08:02,94.336356,-38.323383,10.439,5570.0,1.79224
489.01,455096220,KP,3.6466612,2459250.846246,2019-03-14 21:38:48,2021-12-01 16:02:01,123.250703,4.787029,11.8997,6096.0,1.35672
490.01,455135327,KP,2.8106013,2458491.915477,2019-03-14 21:38:48,2024-10-10 10:08:04,123.949843,5.836867,9.93908,6304.0,1.34004
491.01,468987719,KP,3.3326812,2460279.866473,2019-03-14 21:38:48,2024-02-01 16:02:02,128.925689,10.206587,12.7656,5645.0,1.11
492.01,17746821,KP,3.1220166,2458493.164634,2019-03-14 21:38:48,2024-11-25 16:02:01,118.063438,12.139347,11.3155,6280.0,1.72958
495.01,22529346,KP,1.2749246,2459986.21062,2019-03-14 21:38:48,2023-04-04 16:02:02,107.600231,-39.09727,10.056,6459.0,1.52
501.01,134537478,KP,1.7100122,2459987.847958,2019-03-14 21:38:48,2023-04-04 16:02:02,108.301409,-42.409762,10.3887,5720.0,1.51
505.01,268644785,KP,3.3294649,2459299.865444,2019-03-08 14:44:09,2021-12-01 16:02:01,117.414976,-52.120447,10.6815,6003.0,1.52238
508.01,425206121,KP,4.6117328,2459222.78972,2019-03-14 21:38:48,2021-10-29 12:59:15,111.509529,7.615776,9.654,7346.0,1.67
511.01,440777904,KP,3.3552444,2458491.695717,2019-03-22 22:54:00,2024-11-26 16:02:02,108.825117,14.262606,11.3072,6373.0,1.41886
514.01,366576758,KP,11.3909685,2458495.842899,2019-03-22 22:54:00,2024-11-26 16:02:02,127.882912,11.922255,13.6674,5027.0,0.875936
534.01,281909674,KP,4.0350444,2458470.81672,2019-03-28 00:07:14,2021-12-09 10:10:02,102.721143,-5.086456,14.4266,5945.0,1.1370699
535.01,280210963,KP,2.8280391,2459203.486894,2019-03-28 00:07:14,2021-12-09 10:10:02,100.765687,-1.296444,14.7971,5675.0,1.0367399
536.01,234825296,KP,9.2432303,2458473.382195,2019-03-28 00:07:14,2021-12-08 16:02:02,97.720425,0.226893,13.8786,5880.0,1.2998101
537.01,234112540,KP,4.0379012,2459205.316448,2019-03-28 00:07:14,2021-12-03 16:02:01,101.27724,0.815216,13.4831,6100.0,1.27299
545.01,37168957,KP,1.9000862,2459203.608483,2019-03-28 00:07:14,2021-12-02 10:10:02,98.172417,-0.031604,14.2465,5440.0,0.934028
546.01,36440357,KP,9.2016496,2459211.46641,2019-03-28 00:07:14,2021-12-02 10:10:02,102.194623,-0.672786,13.1573,6190.0,1.12271
547.01,36352297,KP,1.5089635,2459211.478874,2019-03-28 00:07:14,2021-10-29 12:59:15,102.079859,-3.102139,13.0501,5950.0,1.29
