toi,tid,split,label,disposition,stage1_score,stage2_score
2844.01,387342052,train,1,CP,0.4922385811805725,
2845.01,177612321,train,0,FP,0.5101900100708008,
2848.01,285524410,train,0,FP,0.4940861165523529,
2855.01,437156845,train,0,FP,0.4812750220298767,
2856.01,172630205,train,0,FP,0.2954976558685303,
286.01,150030205,train,1,CP,0.4981272220611572,
286.02,150030205,train,1,CP,0.4981272220611572,
2863.01,412257781,train,0,FP,0.5073234438896179,
2871.01,155807906,train,0,FP,0.05276808887720108,
2872.01,151930063,train,0,FP,0.5186852812767029,
2874.01,123106490,train,0,FP,0.47914576530456543,
2878.01,4999813,train,0,FP,0.4504339098930359,
2879.01,146836153,train,0,FP,0.47003060579299927,
290.01,201233610,train,0,FP,0.5377949476242065,
2902.01,290302097,train,0,FP,0.5007213354110718,
291.01,49710555,train,0,FP,0.35016748309135437,
2933.01,29336129,train,0,FP,0.4764115512371063,
2936.01,22020459,train,0,FP,0.49626290798187256,
294.01,188570092,train,1,CP,0.48717132210731506,
2944.01,340700241,train,0,FP,0.4943239390850067,
2947.01,374847873,train,0,FP,0.365628719329834,
2951.01,304025075,train,0,FP,0.3439336121082306,
2953.01,469184909,train,0,FP,0.32217222452163696,
2958.01,463203560,train,0,FP,0.47045132517814636,
2959.01,462162963,train,0,FP,0.3587827682495117,
2963.01,441334829,train,0,FP,0.4218073785305023,
2967.01,103245940,train,0,FP,0.4827505648136139,
297.01,115242351,train,0,FP,0.36547020077705383,
2977.01,361343239,train,1,CP,0.5073139667510986,
2981.01,287145649,train,1,CP,0.4823282063007355,
2987.01,141631253,train,0,FP,0.39702847599983215,
2999.01,34505005,train,0,FP,0.4924055337905884,
3001.01,468977648,train,0,FP,0.47527891397476196,
3004.01,400395395,train,0,FP,0.48779404163360596,
3005.01,386297468,train,0,FP,0.5018647313117981,
3011.01,356461227,train,0,FP,0.4590475261211395,
3018.01,45684223,train,0,FP,0.4190046787261963,
3023.01,454248975,train,1,CP,0.49220964312553406,
304.01,262530873,train,0,FP,0.4789755940437317,
3044.01,357538688,train,0,FP,0.39231300354003906,
3049.01,303867090,train,0,FP,0.42693471908569336,
3059.01,464067218,train,0,FP,0.35014608502388,
3060.01,463681005,train,0,FP,0.49084293842315674,
3071.01,452006073,train,1,CP,0.33285805583000183,
